;file;sp;stage;p;year;p_norm;s;s_norm;i;i_norm;l;l_norm;classic?;type
38;tolstoy-zhivoy-trup;1667;371;22.255548890221956;1900;0.1074224692390649;4.177897574123989;0.10037735849056603;0.0593881223755249;0.1129701894672612;1.328159645232816;0.7256726175509177;0.10692333906563072;small_retreat
39;ostrovsky-les;2842;484;17.030260380014077;1871;0.06903408957767089;3.731404958677686;0.0787341629172236;0.08409570724841661;0.16926272819828253;1.264591439688716;0.5851016887961811;0.10567699356439235;small_retreat
40;turgenev-nahlebnik;1540;559;36.298701298701296;1857;0.2105926320437361;5.15742397137746;0.1478587291820327;0.22792207792207791;0.49694961395992326;1.3929618768328447;0.8689723977386101;0.2851336583952307;significant_retreat
41;sumarokov-dimitrij-samozvanets;490;57;11.63265306122449;1771;0.02937974348519639;3.6842105263157894;0.07644646924829157;0.02857142857142857;0.042758959253804615;1.1666666666666667;0.36855670103092797;0.049528390662430866;classic
42;naydyonov-deti-vanjushina;2069;471;22.76462058965684;1901;0.11116244218689356;9.273885350318471;0.3473992716509728;0.09279845335911067;0.18909063428553394;1.420017873100983;0.9288024101047508;0.21588411604113344;significant_retreat
43;chekhov-vishnevyi-sad;1267;575;45.38279400157853;1904;0.27733030573890155;4.3252173913043475;0.1075185104486481;0.13101815311760062;0.2761685069311657;1.3036935704514363;0.6715698026993101;0.22033910770623844;significant_retreat
44;krylov-sonnyj-poroshok;886;130;14.672686230248308;1800;0.051713811211358054;3.576923076923077;0.07124583844401614;0.05417607223476298;0.10109531234243249;1.2486772486772486;0.5499099983636064;0.07468498733260222;classic
45;ostrovsky-bespridannitsa;2484;403;16.223832528180353;1878;0.06310954426591664;3.7990074441687347;0.08201111255560518;0.051932367149758456;0.09598336570546342;1.2864864864864864;0.6335190860964056;0.08036800750899507;classic
46;lomonosov-demofont;478;54;11.297071129707113;1752;0.02691433959995131;2.8518518518518516;0.036098877921201374;0.03765690376569038;0.06345885634588563;1.127659574468085;0.282298749725817;0.04215735795567944;classic
47;ostrovsky-bednost-ne-porok;1184;371;31.334459459459456;1854;0.17412207159841225;4.1940700808625335;0.10116130141401986;0.07939189189189189;0.15854578805609734;1.372340425531915;0.8233713533669665;0.14460972035617647;small_retreat
48;ostrovsky-na-vsyakogo-mudreca-dovolno-prostoty;2366;342;14.454775993237531;1868;0.05011290039195886;3.175438596491228;0.05178435839028095;0.06846999154691462;0.13366187077527283;1.3118279569892473;0.6895576987030262;0.07851970985250421;classic
49;gogol-otryvok;240;34;14.166666666666666;1842;0.04799626124547259;2.3823529411764706;0.013340479699852602;0.05;0.09158075601374571;1.0689655172413792;0.15250622111624582;0.05097249898635697;classic
50;mayakovsky-misteriya-buff;1339;299;22.330097087378643;1921;0.10797014894898575;5.337792642140468;0.15660188479441722;0.1157580283793876;0.24140059386781434;1.3165562913907285;0.700013654673312;0.16865754253707244;small_retreat
51;mayakovsky-banja;827;119;14.389359129383314;1929;0.0496323054160092;6.857142857142857;0.23025056947608202;0.049576783555018135;0.09061652060816847;1.2592592592592593;0.5733104238258878;0.12349979850008656;small_retreat
52;mayakovsky-klop;620;168;27.09677419354839;1929;0.14298926992526262;8.851190476190476;0.32690964312832194;0.08709677419354839;0.17610021061966524;1.2818057455540355;0.6231683754777383;0.21533304122441663;significant_retreat
53;turgenev-zavtrak-u-predvoditelja;922;84;9.11062906724512;1849;0.01085130923570196;2.107142857142857;0.0;0.05856832971800434;0.1111024144434257;1.2394366197183098;0.5294758240162623;0.04065124122637589;classic
54;fonvizin-vybor-guvernera;347;57;16.42651296829971;1790;0.06459856705768031;3.456140350877193;0.06539104024297647;0.09510086455331412;0.1943363340166573;1.2361111111111112;0.5221219931271479;0.10810864710577135;small_retreat
55;pisemskij-gorkaja-sudbina;1144;345;30.157342657342657;1859;0.1654742033290929;4.220289855072464;0.1024322736126242;0.18269230769230768;0.39390034364261167;1.3376623376623376;0.7466863033873341;0.2206022735281096;significant_retreat
56;plavilshchikov-sgovor-kutejkina;468;63;13.461538461538462;1789;0.04281592925126048;3.4761904761904763;0.06636294608959757;0.042735042735042736;0.07502863688430698;1.1271186440677967;0.28110256858291127;0.06140250407505501;classic
57;gumilyov-akteon;168;55;32.73809523809524;1913;0.1844340961060204;4.054545454545455;0.09439801201076828;0.19047619047619047;0.4116347569955817;1.1240875912408759;0.27439987959966883;0.2301556217041235;significant_retreat
58;chekhov-tri-sestry;1516;653;43.073878627968334;1901;0.26036750649919954;3.4931087289433385;0.06718303815925795;0.12071240105540897;0.25268839140802796;1.3787085514834205;0.8374534463215846;0.19341297868882848;small_retreat
59;griboyedov-gore-ot-uma;1385;209;15.090252707581229;1825;0.05478152707707765;3.9138755980861246;0.08757920894595156;0.059927797833935016;0.11419975932611312;1.2;0.4422680412371133;0.08552016511638078;classic
60;turgenev-neostorozhnost;816;272;33.33333333333333;1843;0.188807103633602;3.801470588235294;0.08213051051855821;0.031862745098039214;0.05025773195876288;1.2953846153846154;0.6531958762886597;0.1070651153703077;small_retreat
61;pushkin-rusalka;244;45;18.442622950819672;1837;0.0794102267960674;3.2888888888888888;0.05728372563907871;0.028688524590163935;0.0430257450284491;1.1111111111111112;0.245704467353952;0.05990656582119841;classic
62;shakhovskoy-svoya-semya;1456;191;13.118131868131869;1818;0.040293040293040296;2.654450261780105;0.026530071914990048;0.05631868131868132;0.10597692685321551;1.2052631578947368;0.4539066739012479;0.057600013020415286;classic
63;tolstoy-smert-ioanna-groznogo;1755;333;18.974358974358974;1866;0.08331670666055523;4.4774774774774775;0.1148991360380882;0.07977207977207977;0.1594119893088965;1.3854166666666667;0.8522873711340208;0.11920927733584663;small_retreat
64;fonvizin-nedorosl;1820;349;19.17582417582418;1782;0.08479680151604443;3.1117478510028653;0.04869702567048058;0.10989010989010989;0.22803141875306826;1.3193548387096774;0.7062021948786165;0.12050841531319777;small_retreat
65;ostrovsky-groza;1568;297;18.941326530612244;1859;0.08307402877028833;3.6262626262626263;0.07363751409309496;0.061224489795918366;0.1171540781260958;1.356687898089172;0.7887582901044059;0.09128854032982636;classic
66;tolstoy-tsar-fedor-ioannovich;1994;337;16.900702106318956;1868;0.06808226994337374;4.468842729970326;0.11448057697897163;0.08575727181544635;0.17304835468605131;1.4522144522144522;1.0;0.11853706720279888;small_retreat
67;saltykov-shchedrin-smert-pazuhina;1636;400;24.449877750611247;1857;0.12354344116817795;4.2325;0.10302414578587699;0.11797066014669927;0.24644174459540075;1.3083941605839415;0.6819644066521181;0.1576697771831519;small_retreat
