;Amount of acts;Amount of directions;Author;Lemmas;Lemmas per direction;Published;Title;Words;Words per direction;Written;Directions per act;Words per act;Lemmas per act;A;ADV;INTJ;S;V;Words
pushkin-stseny-iz-rytsarskih-vremen.txt;1;38;Пушкин, Александр Сергеевич;997;4.973684210526316;1837;Сцены из рыцарских времен;3397;3.131578947368421;1835;38.0;3397.0;997.0;0.07894736842105263;0.0;0.0;0;0.05263157894736842;0.9473684210526315
sukhovo-kobylin-delo.txt;5;901;Сухово-Кобылин, Александр Васильевич;3711;5.568257491675916;1861;Дело;23578;3.736958934517203;1861;180.2;4715.6;742.2;0.07103218645948946;0.22086570477247502;0.0022197558268590455;0;0.1365149833518313;1.3296337402885683
sukhovo-kobylin-svadba-krechinskogo.txt;2;709;Сухово-Кобылин, Александр Васильевич;2872;5.631875881523273;1856;Свадьба Кречинского;18521;3.7390691114245422;1854;354.5;9260.5;1436.0;0.16502115655853314;0.2524682651622003;0.0;0;0.1071932299012694;1.465444287729196
sumarokov-dimitrij-samozvanets.txt;5;57;Сумароков, Александр Петрович;1913;5.824561403508773;1771;Димитрий Самозванец;7278;3.684210526315789;1770;11.4;1455.6;382.6;0.3157894736842105;0.03508771929824561;0.0;0;0.0;1.368421052631579
sumarokov-horev.txt;5;33;Сумароков, Александр Петрович;1912;5.545454545454546;1747;Хорев;8440;3.515151515151515;1747;6.6;1688.0;382.4;0.15151515151515152;0.30303030303030304;0.0;0;0.030303030303030304;1.7878787878787878
sumarokov-semira.txt;5;77;Сумароков, Александр Петрович;1909;5.467532467532466;1768;Семира;10363;3.493506493506493;1751;15.4;2072.6;381.8;0.012987012987012988;0.025974025974025976;0.0;0;0.3116883116883117;1.3766233766233766
tolstoy-smert-ioanna-groznogo.txt;5;333;Толстой, Алексей Константинович;3263;6.4144144144144155;1866;Смерть Иоанна Грозного;18767;4.4774774774774775;1866;66.6;3753.4;652.6;0.3663663663663664;0.13813813813813813;0.0;0;0.10810810810810811;1.7507507507507507
tolstoy-tsar-boris.txt;5;258;Толстой, Алексей Константинович;3506;6.616279069767443;1870;Царь Борис;20858;4.666666666666667;1870;51.6;4171.6;701.2;0.20930232558139536;0.11627906976744186;0.0;0;0.07364341085271318;1.565891472868217
tolstoy-tsar-fedor-ioannovich.txt;5;337;Толстой, Алексей Константинович;2790;6.976261127596438;1868;Царь Фёдор Иоаннович;18668;4.468842729970326;1868;67.4;3733.6;558.0;0.19881305637982197;0.1543026706231454;0.0;0;0.09198813056379822;1.6973293768545994
tolstoy-vlast-tmy.txt;8;604;Толстой, Лев Николаевич;2624;5.884105960264901;1887;Власть тьмы, или 'коготок увяз, всей птичке пропасть';19758;3.9172185430463577;1886;75.5;2469.75;328.0;0.05132450331125828;0.12086092715231789;0.0;0;0.0695364238410596;1.3327814569536425
turgenev-gde-tonko-tam-i-rvetsja.txt;1;273;Тургенев, Иван Сергеевич;2035;6.703296703296704;1848;Где тонко, там и рвётся;9709;4.853479853479853;1847;273.0;9709.0;2035.0;0.28205128205128205;0.4065934065934066;0.0;0;0.07326007326007326;2.0
turgenev-holostjak.txt;1;687;Тургенев, Иван Сергеевич;2788;6.39155749636099;1849;Холостяк;21501;4.506550218340611;1849;687.0;21501.0;2788.0;0.23726346433770015;0.3682678311499272;0.0;0;0.12372634643377002;1.7991266375545851
turgenev-nahlebnik.txt;2;562;Тургенев, Иван Сергеевич;2350;6.9661921708185055;1857;Нахлебник;15150;5.032028469750889;1848;281.0;7575.0;1175.0;0.23665480427046262;0.37544483985765126;0.0;0;0.12277580071174377;2.096085409252669
turgenev-neostorozhnost.txt;1;272;Тургенев, Иван Сергеевич;1803;5.680147058823528;1843;Неосторожность;10137;3.8014705882352944;1843;272.0;10137.0;1803.0;0.08823529411764706;0.36764705882352944;0.0;0;0.07352941176470588;1.4595588235294117
turgenev-provintsialka.txt;1;313;Тургенев, Иван Сергеевич;1629;6.258785942492013;1851;Провинциалка;10080;4.463258785942492;1850;313.0;10080.0;1629.0;0.10223642172523961;0.31629392971246006;0.0;0;0.10543130990415335;1.744408945686901
turgenev-vecher-v-sorrente.txt;1;144;Тургенев, Иван Сергеевич;1043;6.986111111111112;1888;Вечер в Сорренте;4066;5.145833333333333;1852;144.0;4066.0;1043.0;0.18055555555555555;0.2777777777777778;0.020833333333333332;0;0.125;2.0069444444444446
turgenev-zavtrak-u-predvoditelja.txt;1;106;Тургенев, Иван Сергеевич;1301;3.2547169811320757;1856;Завтрак у предводителя;7027;2.0;1849;106.0;7027.0;1301.0;0.011235955056179775;0.056179775280898875;0.0;0;0.07865168539325842;0.8426966292134831
